"Sub-Brand","Sub-Brand"
"For Use on Doors","For Use on Doors"
"For Use on Fiberglass","For Use on Fiberglass"
"For Use on Garage Doors","For Use on Garage Doors"
"For Use on Porches and Floors","For Use on Porches and Floors"
"For Use on Swimming Pools","For Use on Swimming Pools"
"Kit","Kit"
"Low Odor","Low Odor"
"For Use on Aluminum","For Use on Aluminum"
"For Use on Barn and Fence","For Use on Barn and Fence"
"For Use on Brick","For Use on Brick"
"For Use on Concrete","For Use on Concrete"
"For Use on Masonry","For Use on Masonry"
"For Use on Metal","For Use on Metal"
"For Use on Siding","For Use on Siding"
"For Use on Stone","For Use on Stone"
"For Use on Stucco","For Use on Stucco"
"For Use on Vinyl","For Use on Vinyl"
"For Use on Window Shutters","For Use on Window Shutters"
"For Use on Wood","For Use on Wood"
"Water Resistant","Water Resistant"
"Engine Brand","Engine Brand"
"Engine Torque","Engine Torque"
"Engine Displacement","Engine Displacement"
"Cut Width","Cut Width"
"Transmission Type","Transmission Type"
"Start Type","Start Type"
"Drive Type","Drive Type"
"Speed Control","Speed Control"
"Mulching Capable","Mulching Capable"
"Front Wheel Size","Front Wheel Size"
"Rear Wheel Size","Rear Wheel Size"
"Engine Oil Included","Engine Oil Included"
"California Air Resources Board Compliant","California Air Resources Board Compliant"
"Cut Height Adjustment","Cut Height Adjustment"
"Minimum Cutting Height","Minimum Cutting Height"
"Mower Deck Width","Mower Deck Width"
"Maximum Cutting Height","Maximum Cutting Height"
"Engine Series","Engine Series"
"Package Weight","Package Weight"
"Adjustment Type","Adjustment Type"
"Recommended for Terrain Type","Recommended for Terrain Type"
"Blade Stop System","Blade Stop System"
"Discharge Location","Discharge Location"
"Cutting Range/Yard Size","Cutting Range/Yard Size"
"Bagger Capable","Bagger Capable"
"See product page CRAFTSMAN Honda 160cc Push Mower","See product page CRAFTSMAN Honda 160cc Push Mower"
"CRAFTSMAN 140cc 21-in Push Mower","CRAFTSMAN 140cc 21-in Push Mower"
"Engine Power Rating","Engine Power Rating"
"Honda 160cc","Honda 160cc"
"3-in-1 deck design - mulch, rear bag, or side discharge options included","3-in-1 deck design - mulch, rear bag, or side discharge options included"
"2-in-1 deck design - mulch and rear bag","2-in-1 deck design - mulch and rear bag"
"Drive Type","Drive Type"
"Push","Push"
"Wheel Size","Wheel Size"
"7-in front / 11-in rear","7-in front / 11-in rear"
"Speed Selection","Speed Selection"
"Bagger Included","Bagger Included"
"Yes, with Dust Blocker","Yes, with Dust Blocker"
"See product page CRAFTSMAN Honda 160cc Push Mower","See product page CRAFTSMAN Honda 160cc Push Mower"
"CRAFTSMAN 140cc 21-in Push Mower","CRAFTSMAN 140cc 21-in Push Mower"
"Engine Power Rating","Engine Power Rating"
"Honda 160cc","Honda 160cc"
"3-in-1 deck design - mulch, rear bag, or side discharge options included","3-in-1 deck design - mulch, rear bag, or side discharge options included"
"2-in-1 deck design - mulch and rear bag","2-in-1 deck design - mulch and rear bag"
"Drive Type","Drive Type"
"Push","Push"
"Wheel Size","Wheel Size"
"7-in front / 11-in rear","7-in front / 11-in rear"
"Speed Selection","Speed Selection"
"Bagger Included","Bagger Included"
"Yes, with Dust Blocker","Yes, with Dust Blocker"
"Adjustment Type","Adjustment Type"
"Bagger Included","Bagger Included"
"Battery Amp Hours","Battery Amp Hours"
"Battery Type","Battery Type"
"Battery Voltage","Battery Voltage"
"Blade Stop System","Blade Stop System"
"Brushless","Brushless"
"Charge Time","Charge Time"
"Cut Height Adjustment","Cut Height Adjustment"
"Cut Width","Cut Width"
"Cutting Range/Yard Size","Cutting Range/Yard Size"
"Discharge Location","Discharge Location"
"Drive Type","Drive Type"
"Front Wheel Size","Front Wheel Size"
"Handle Adjustments","Handle Adjustments"
